long,lat,zb
21.07447657,20.27637973,26.42130661
21.52363421,20.27637973,26.58055115
21.97279185,20.27637973,26.9060936
22.42194949,20.27637973,27.5735321
22.87110713,20.27637973,28.70759392
23.32026478,20.27637973,30.34761047
23.76942242,20.27637973,32.4406929
24.21858006,20.27637973,34.98703384
24.6677377,20.27637973,37.83103561
25.11689534,20.27637973,40.64920807
25.56605299,20.27637973,42.96630859
26.01521063,20.27637973,44.19042587
26.46436827,20.27637973,44.73395538
26.91352591,20.27637973,44.94514465
27.36268355,20.27637973,45.12418365
27.8118412,20.27637973,45.49775314
28.26099884,20.27637973,46.14550781
28.71015648,20.27637973,47.11395264
29.15931412,20.27637973,48.20248032
29.60847176,20.27637973,48.96105576
30.05762941,20.27637973,48.72402954
30.50678705,20.27637973,46.68318176
30.95594469,20.27637973,43.42049026
31.40510233,20.27637973,39.5506897
31.85425997,20.27637973,35.77062607
32.30341762,20.27637973,32.85713959
32.75257526,20.27637973,31.62298012
33.2017329,20.27637973,31.66211891
33.65089054,20.27637973,32.58045578
34.10004819,20.27637973,34.00031281
34.54920583,20.27637973,35.56911469
34.99836347,20.27637973,36.96979523
35.44752111,20.27637973,38.24681854
35.89667875,20.27637973,39.44456482
36.3458364,20.27637973,40.5812912
36.79499404,20.27637973,41.63799667
37.24415168,20.27637973,42.55967331
37.69330932,20.27637973,43.4445076
38.14246696,20.27637973,44.3416481
38.59162461,20.27637973,45.25806808
39.04078225,20.27637973,46.18028259
21.07447657,20.69961313,28.12889481
21.52363421,20.69961313,28.25318909
21.97279185,20.69961313,28.56754875
22.42194949,20.69961313,29.16359329
22.87110713,20.69961313,30.09926033
23.32026478,20.69961313,31.37447548
23.76942242,20.69961313,32.9450264
24.21858006,20.69961313,34.76332092
24.6677377,20.69961313,36.71515274
25.11689534,20.69961313,38.6018219
25.56605299,20.69961313,40.16675186
26.01521063,20.69961313,41.18390656
26.46436827,20.69961313,41.71870041
26.91352591,20.69961313,41.94102478
27.36268355,20.69961313,42.08124161
27.8118412,20.69961313,42.37402344
28.26099884,20.69961313,42.95766449
28.71015648,20.69961313,43.80258179
29.15931412,20.69961313,44.69540405
29.60847176,20.69961313,45.28131485
30.05762941,20.69961313,45.14188004
30.50678705,20.69961313,43.9620018
30.95594469,20.69961313,41.92556381
31.40510233,20.69961313,39.42575836
31.85425997,20.69961313,36.96552658
32.30341762,20.69961313,35.07336044
32.75257526,20.69961313,34.14912796
33.2017329,20.69961313,34.1330452
33.65089054,20.69961313,34.79156494
34.10004819,20.69961313,35.82852173
34.54920583,20.69961313,36.95141983
34.99836347,20.69961313,37.94832611
35.44752111,20.69961313,38.7961731
35.89667875,20.69961313,39.53559875
36.3458364,20.69961313,40.20342255
36.79499404,20.69961313,40.81272507
37.24415168,20.69961313,41.36485672
37.69330932,20.69961313,41.89385223
38.14246696,20.69961313,42.42375565
38.59162461,20.69961313,42.96091843
39.04078225,20.69961313,43.50091553
21.07447657,21.12165473,29.70226097
21.52363421,21.12165473,29.74277115
21.97279185,21.12165473,29.99351311
22.42194949,21.12165473,30.49091911
22.87110713,21.12165473,31.24406624
23.32026478,21.12165473,32.20997238
23.76942242,21.12165473,33.31930542
24.21858006,21.12165473,34.53358459
24.6677377,21.12165473,35.79138565
25.11689534,21.12165473,36.98929596
25.56605299,21.12165473,38.00127792
26.01521063,21.12165473,38.71266174
26.46436827,21.12165473,39.05797577
26.91352591,21.12165473,39.09589005
27.36268355,21.12165473,39.0368309
27.8118412,21.12165473,39.1848793
28.26099884,21.12165473,39.76625061
28.71015648,21.12165473,40.69139862
29.15931412,21.12165473,41.69918823
29.60847176,21.12165473,42.4608345
30.05762941,21.12165473,42.65522003
30.50678705,21.12165473,42.08705521
30.95594469,21.12165473,40.84569168
31.40510233,21.12165473,39.20891953
31.85425997,21.12165473,37.56272507
32.30341762,21.12165473,36.3188858
32.75257526,21.12165473,35.77571106
33.2017329,21.12165473,35.93267822
33.65089054,21.12165473,36.61010361
34.10004819,21.12165473,37.53755188
34.54920583,21.12165473,38.42330933
34.99836347,21.12165473,39.06185532
35.44752111,21.12165473,39.46786499
35.89667875,21.12165473,39.72979355
36.3458364,21.12165473,39.92089462
36.79499404,21.12165473,40.07978058
37.24415168,21.12165473,40.22255325
37.69330932,21.12165473,40.36244583
38.14246696,21.12165473,40.50767136
38.59162461,21.12165473,40.6612587
39.04078225,21.12165473,40.82114792
21.07447657,21.5424849,31.05944633
